fishing,length_decile,month,n_s1_detections,n_s1_detections_unmatched,decile_min_m,decile_max_m
true,4,2018-06-01 00:00:00,17884,13253,14.75999999999973,18.280000000000058
true,5,2018-06-01 00:00:00,17237,12166,18.280000000000058,21.410000000000547
true,6,2018-06-01 00:00:00,16046,10924,21.410000000000547,23.4741764
true,7,2018-06-01 00:00:00,15408,9598,23.474182,26.025414
true,8,2018-06-01 00:00:00,14475,8199,26.025414,30.572640000000003
true,9,2018-06-01 00:00:00,14976,7354,30.572645,41.5105934
true,10,2018-06-01 00:00:00,15749,4962,41.5106,453.8493
false,1,2018-07-01 00:00:00,13348,9393,5.009999999999937,49.8269653
false,2,2018-07-01 00:00:00,14139,5459,49.82698059082031,70.19505
false,3,2018-07-01 00:00:00,14653,4357,70.1950684,85.2781372
false,4,2018-07-01 00:00:00,15915,4006,85.2781372,102.73096
false,5,2018-07-01 00:00:00,16477,3955,102.730965,124.4505844116211
false,6,2018-07-01 00:00:00,15451,3311,124.4506,148.219666
false,7,2018-07-01 00:00:00,14374,2464,148.219666,173.04274
false,8,2018-07-01 00:00:00,14576,2287,173.04277,196.13412
false,9,2018-07-01 00:00:00,15073,2321,196.1341552734375,239.60664
false,10,2018-07-01 00:00:00,13959,2210,239.60664,453.10022
true,1,2018-07-01 00:00:00,24167,18627,5.009999999999937,7.759999999999878
true,2,2018-07-01 00:00:00,21296,15826,7.759999999999878,10.819999999999814
true,3,2018-07-01 00:00:00,20540,14976,10.819999999999814,14.75999999999973
true,4,2018-07-01 00:00:00,20083,14188,14.75999999999973,18.280000000000058
true,5,2018-07-01 00:00:00,19530,13201,18.280000000000058,21.410000000000547
true,6,2018-07-01 00:00:00,18718,11909,21.410000000000547,23.4741764
true,7,2018-07-01 00:00:00,17480,10519,23.474182,26.025414
true,8,2018-07-01 00:00:00,16312,9023,26.025414,30.572640000000003
true,9,2018-07-01 00:00:00,16220,7795,30.572645,41.5105934
true,10,2018-07-01 00:00:00,15647,5101,41.5106,453.8493
false,1,2018-08-01 00:00:00,14418,10584,5.009999999999937,49.8269653
false,2,2018-08-01 00:00:00,14304,5737,49.82698059082031,70.19505
false,3,2018-08-01 00:00:00,14841,4412,70.1950684,85.2781372
